Index	norge	modell	likestilling	paradoks	myte	voldta
20190116-15-drept-i-kenya---f	0	0	0	0	0	0
20190116-93-ordforere-vil-bev	3	0	0	0	0	0
20190116-avis-aldri-mer-salg-	0	0	0	0	0	0
20190116-avis-trumps-eksadvok	0	1	0	0	0	0
20190116-blonz-banens-beste-i	3	0	0	0	0	0
20190116-boksluker-silje-15-i	0	0	0	0	0	0
20190116-brutal-tilbakegang-f	1	0	0	0	0	0
20190116-bussjafor-kjell-arne	0	0	0	0	0	0
20190116-de-raeste-finansfolk	0	0	0	0	0	0
20190116-elever-med-gode-kara	5	0	0	0	0	0
20190116-flere-vil-spre-asken	0	0	0	0	0	0
20190116-fordel-for-danmark-o	4	0	0	0	0	0
20190116-helleland-fornoyd-me	3	0	3	0	0	0
20190116-helleland-snakket-om	0	0	3	0	0	0
20190116-her-kan-du-fa-et-hus	0	0	0	0	0	0
20190116-kvinne-falt-ut-av-vi	0	0	0	0	0	0
20190116-mange-tusen-var-uten	0	0	0	0	0	0
20190116-mann-hoppet-fra-fjer	0	0	0	0	0	0
20190116-massivt-brexit-neder	0	0	0	0	0	0
20190116-misnoye-med-oslo-dom	0	0	0	0	0	0
20190116-mistillitsavstemning	1	0	0	0	0	0
20190116-mot-norsk-brexit-ell	1	0	0	0	0	0
20190116-na-er-zuccarello-ass	0	0	0	0	0	0
20190116-norwegian-legger-ned	0	0	0	0	0	0
20190116-ny-kvinne-star-fram-	0	0	0	0	0	2
20190116-pst-mener-huaweis-ut	5	0	0	0	0	0
20190116-putin-anklager-usa-f	0	0	0	0	0	0
20190116-regjeringsavklaring-	0	0	0	0	0	0
20190116-selger-sonja-henie-k	5	0	0	0	0	0
20190116-sluttet-bratt-far-re	0	0	0	0	0	0
20190116-snofall-forte-til-fl	0	0	0	0	0	0
20190116-starter-gransking-av	0	0	0	0	0	0
20190116-store-domstolene-van	1	0	0	0	0	0
20190116-theresa-may-overlevd	0	0	0	0	0	0
20190116-theresa-mays-brexit-	0	0	0	0	0	0
20190116-vnsterpartiet-vil-si	0	0	1	0	0	0
20190117---vi-nordmenn-later-	1	0	0	0	0	0
20190117-15000-kvinner-fikk-d	0	0	0	0	0	0
20190117-16-aring-ranet-og-sl	0	0	0	0	0	0
20190117-bombeangrep-mot-poli	1	0	0	0	0	0
20190117-brexit-dramet-fortse	1	0	0	0	0	0
20190117-caro-show-da-kvinnel	7	0	0	0	0	0
20190117-courier-journal-ber-	0	0	0	0	0	0
20190117-det-blir-buss-for-to	0	0	0	0	0	0
20190117-deyver-vega-til-vale	0	0	0	0	0	0
20190117-dobbeltseier-til-bro	1	0	0	0	0	0
20190117-donald-trump-erklare	0	0	0	0	0	0
20190117-duellen-danmark-norg	7	0	0	0	0	0
20190117-frp-krever-svar-om-l	0	0	0	0	0	0
20190117-frustrasjon-enormt-a	0	0	0	0	0	0
20190117-giuliani---jeg-sa-al	0	0	0	0	0	0
20190117-halve-livet-med-razi	0	0	0	0	0	0
20190117-hareide---dette-kan-	0	0	1	0	0	0
20190117-her-blir-ordforeren-	0	0	0	0	0	0
20190117-komiker-i-krise	1	0	0	0	0	0
20190117-kunde-stukket-med-kn	0	0	0	0	0	0
20190117-lang-ferd-mot-avklar	1	0	0	0	0	0
20190117-lavrov-russland-onsk	0	0	0	0	0	0
20190117-medlemsvekst-for-sen	1	0	0	0	0	0
20190117-meldinger-om-fyrverk	0	0	0	0	0	0
20190117-minnerenn-for-skofte	0	0	0	0	0	0
20190117-mor-og-barn-far-ligg	2	0	0	0	0	0
20190117-na-skal-det-bli-vans	2	2	0	0	0	0
20190117-norskfodte-med-innva	3	0	0	0	0	0
20190117-ny-nedtur-for-ruud	0	0	0	0	0	0
20190117-ny-rapport-slar-fast	6	0	0	0	0	0
20190117-politianmelder-vif-k	0	0	0	0	0	0
20190117-politiet-etterforske	1	0	0	0	0	0
20190117-ronaldo-avgjorde-den	0	0	0	0	0	0
20190117-seks-personer-til-sy	0	0	0	0	0	0
20190117-simen-bondevik---man	0	0	0	0	0	0
20190117-slutt-pa-gratis-bomp	1	0	0	0	0	0
20190117-sp-sier-ja-til-pensj	0	0	0	0	0	0
20190117-stoppforsok-mot-regj	0	0	0	0	0	0
20190117-stordalen---barekraf	1	0	0	0	0	0
20190117-torturkomit-refser-n	8	0	0	0	0	0
20190117-tre-omkomne-funnet-i	0	0	0	0	0	0
20190117-trump-administrasjon	0	0	0	0	0	0
20190117-venter-pa-vern	2	0	0	0	0	0
20190118---na-ma-de-starte-pa	0	0	0	0	0	0
20190118---selvsagt-kjenner-j	1	0	0	0	0	0
20190118-ansatte-hos-fylkesma	0	0	0	0	0	0
20190118-datasystemer-ved-syk	0	0	0	0	0	0
20190118-demokratene-raser-et	0	0	0	0	0	0
20190118-den-nye-regjeringen-	0	0	0	0	0	0
20190118-departementet-ikke-t	0	0	0	0	0	0
20190118-dette-ble-h-frp-v-og	0	0	0	0	0	0
20190118-digitale-pasientjour	0	0	0	0	0	0
20190118-dn-taxfree-seier-til	0	0	0	0	0	0
20190118-federer-enkelt-vider	0	0	0	0	0	0
20190118-feires-i-stor-stil	2	0	0	0	0	0
20190118-hoie-antyder-partipi	2	0	0	0	0	0
20190118-ingen-sparring-for-n	8	0	0	0	0	0
20190118-jakter-navngitt-mann	0	0	0	0	0	0
20190118-kan-irlands-abortpro	0	1	0	0	0	0
20190118-krf-ere-melder-seg-u	0	0	0	0	0	0
20190118-krf-sier-ja-til-regj	2	0	0	0	0	0
20190118-mikkel-show-senket-n	9	0	0	0	0	0
20190118-mot-losning-pa-vif-k	1	0	0	0	0	0
20190118-mowinckel-langt-ned-	0	0	0	0	0	0
