Index	norge	modell	likestilling	paradoks	myte	voldta
20190105-norges-18-aring-bril	13	0	0	0	0	0
20190105-norske-myndigheter-f	5	0	3	0	0	0
20190105-northugs-gamle-trene	2	0	0	0	0	0
20190105-ny-prisrekord-pa-tun	4	0	0	0	0	0
20190105-obs-revyen-2019-bygg	0	0	0	0	0	0
20190105-ofte-foler-kristine-	0	0	0	0	0	0
20190105-ol-gullet-endret-liv	0	0	0	0	0	0
20190105-ostberg-med-maktdemo	0	0	0	0	0	0
20190105-prisdryss-for-famili	4	0	0	0	0	0
20190105-pst-kineser-reiste-f	6	0	0	0	0	0
20190105-radarparene-som-har-	0	0	0	0	0	0
20190105-reinkind-om-vm-plass	0	0	0	0	0	0
20190105-riiber-tok-sesongens	0	0	0	0	0	0
20190105-roykdykkere-hindret-	0	0	0	0	0	0
20190105-russer-pagrepet-av-a	0	0	0	0	0	0
20190105-rystet-over-favoritt	0	0	0	0	0	0
20190105-slik-far-du-dognrytm	0	0	0	0	0	0
20190105-slik-skal-gimle-prov	0	0	0	0	0	0
20190105-snoballkrig-i-kabul	0	0	0	0	0	0
20190105-solskjar-effekten-ha	1	0	0	0	0	0
20190105-spansk-er-fortsatt-f	0	0	0	0	0	0
20190105-stor-vannlekkasje-pa	0	0	0	0	0	0
20190105-stort-bildegalleri-f	0	0	0	0	0	0
20190105-svak-krone-kan-gi-dy	1	0	0	0	0	0
20190105-svensk-tenaring-sikt	0	0	0	0	0	0
20190105-tarene-trillet-da-wa	0	0	0	0	0	0
20190105-til-na-har-det-vart-	0	0	0	0	0	0
20190105-tonseth-forbannet-pa	0	0	0	0	0	0
20190105-tre-menn-drept-i-sky	0	0	0	0	0	0
20190105-ulike-barn-har-ulike	0	0	0	0	0	0
20190105-ulvemotstander-i-hoy	0	0	0	0	0	0
20190105-ung-mann-dode-politi	0	0	0	0	0	0
20190105-vg-oslo-politiet-avd	0	0	0	0	0	0
20190105-vi-trenger-farre-mon	3	0	0	0	0	0
20190105-vurderer-du-a-etteri	0	0	0	0	0	0
20190105-warholm-hylles-etter	0	0	0	0	0	0
20190105-william-nygaard-a-bl	0	0	0	0	0	0
20190106---krig-sa-morfar-dan	0	0	0	0	0	0
20190106---priser-er-veldig-h	0	0	0	0	0	0
20190106-32-leger-gjor-oppror	1	0	0	0	0	0
20190106-549-migranter-reddet	0	0	0	0	0	0
20190106-a-legge-seg-i-en-sov	0	0	0	0	0	0
20190106-a-spotte-gud-er-blit	5	0	0	0	0	0
20190106-aftenposten-mener-eu	0	0	0	0	0	0
20190106-alt-er-rett-med-bran	0	0	0	0	0	0
